Timestamp,Flow_Probability,Inferred_State
2026-04-29 12:15:13,0.9245,Flow
2026-04-29 12:15:17,0.9245,Flow
2026-04-29 12:15:22,0.9581,Flow
2026-04-29 12:15:28,0.9595,Flow
2026-04-29 12:15:33,0.9742,Flow
2026-04-29 12:15:38,0.9782,Flow
2026-04-29 12:15:43,0.9783,Flow
2026-04-29 12:15:47,0.9756,Flow
2026-04-29 12:15:53,0.9747,Flow
2026-04-29 12:15:58,0.9747,Flow
2026-04-29 12:16:03,0.9805,Flow
2026-04-29 12:16:08,0.9783,Flow
2026-04-29 12:16:13,0.9783,Flow
2026-04-29 12:16:18,0.9783,Flow
2026-04-29 12:16:22,0.9766,Flow
2026-04-29 12:16:28,0.6375,Flow
2026-04-29 12:16:33,0.9782,Flow
2026-04-29 12:16:38,0.9728,Flow
2026-04-29 12:16:43,0.9728,Flow
2026-04-29 12:16:49,0.9728,Flow
2026-04-29 12:16:53,0.9693,Flow
2026-04-29 12:16:59,0.9905,Flow
2026-04-29 12:17:04,0.9590,Flow
2026-04-29 12:17:09,0.9233,Flow
2026-04-29 12:17:14,0.9723,Flow
2026-04-29 12:17:18,0.9723,Flow
2026-04-29 12:17:24,0.8124,Flow
2026-04-29 12:17:28,0.9590,Flow
2026-04-29 12:17:33,0.9654,Flow
2026-04-29 12:17:38,0.9537,Flow
2026-04-29 12:17:43,0.9693,Flow
2026-04-29 12:17:48,0.9728,Flow
2026-04-29 12:17:53,0.9728,Flow
2026-04-29 12:17:59,0.9728,Flow
2026-04-29 12:18:03,0.9754,Flow
2026-04-29 12:18:08,0.9754,Flow
2026-04-29 12:18:13,0.6546,Flow
2026-04-29 12:18:18,0.6546,Flow
2026-04-29 12:18:23,0.5036,Flow
2026-04-29 12:18:29,0.5824,Flow
2026-04-29 12:18:34,0.6184,Flow
2026-04-29 12:18:39,0.5599,Flow
2026-04-29 12:18:44,0.5888,Flow
2026-04-29 12:18:49,0.8830,Flow
2026-04-29 12:18:55,0.8951,Flow
